order_id,verdict,kind,product_name,package_name,travel_date,time_slot,hub_id,product_hub,actual_hub,issues
13768,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,10seat Hotel→Tokyo Cruise Port,2026-10-02,11:30,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
15898,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (Max 7 pax),2026-10-07,08:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
15216,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (6–9 Pax),2026-10-09,09:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
15117,NEED_INFO,airport,Haneda Airport to Tokyo or Yokohama Cruise Port Private Transfer,7seat Tokyo Cruise Port to HND,2026-10-09,11:00,Port Private Transfer 7seat Tokyo Cruise,HND,HND,NO_SCHEDULE:未查到 Port Private Transfer 7seat Tokyo Cruise 在出行日的官方时刻
17243,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,10seat Hotel→Tokyo Cruise Port,2026-10-09,11:00,Luminous,,TYO-TICT,NO_SCHEDULE:未查到 Luminous 在出行日的官方时刻
15996,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (Max 4 pax),2026-10-17,07:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
10513,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (5–8 Pax),2026-10-17,09:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
15411,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (6–9 Pax),2026-10-17,09:30,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
16276,NEED_INFO,airport,Narita Airport (NRT): Private Transfer To/From Tokyo Hotels,7 Seat from NRT to hotel,2026-10-17,16:00,,NRT,NRT,NO_HUB_ID:订单里找不到航班号/船名/列车号
10621,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (1–4 Pax),2026-10-18,09:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
16275,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (Max 4 pax),2026-10-18,12:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
14163,NEED_INFO,airport,Haneda Airport to Tokyo or Yokohama Cruise Port Private Transfer,7seat HND to Tokyo Cruise Port,2026-10-20,08:30,Port Private Transfer 7seat HND to Tokyo,HND,HND,NO_SCHEDULE:未查到 Port Private Transfer 7seat HND to Tokyo 在出行日的官方时刻
13348,NEED_INFO,station,Tokyo Station: Private Transfer To/From Tokyo Hotels,7 Seat hotel to Tokyo Station,2026-10-23,08:30,,TYO-STA,TYO-STA,NO_HUB_ID:订单里找不到航班号/船名/列车号
17286,PASS,station,Shin-Osaka Osaka Station Private Transfer To or From Osaka Hotels,7 Seat-From Hotel to Station,2026-10-28,10:00,のぞみ18,SOJ,SOJ,
14165,NEED_INFO,airport,Haneda Airport to Tokyo or Yokohama Cruise Port Private Transfer,7seat Tokyo Cruise Port to HND,2026-10-31,10:30,Port Private Transfer 7seat Tokyo Cruise,HND,HND,NO_SCHEDULE:未查到 Port Private Transfer 7seat Tokyo Cruise 在出行日的官方时刻
17021,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-11-08,11:00,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
14668,NEED_INFO,airport,Osaka International Airport (ITM): Private Transfer To/From Osaka,10 Seat from hotel to ITM,2026-11-25,10:30,,ITM,ITM,NO_HUB_ID:订单里找不到航班号/船名/列车号
14166,NEED_INFO,airport,Narita Airport(NRT): Private Transfer To/From Tokyo Disney Resort,7 Seat from Disneyland to NRT,2026-11-27,12:00,,NRT,NRT,NO_HUB_ID:订单里找不到航班号/船名/列车号
16875,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (Max 7 pax),2026-11-30,09:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
14597,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2026-11-30,11:00,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
12864,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (1–4 Pax),2027-03-02,09:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
17281,NEED_INFO,port,Private Transfer Between Tokyo Cruise Terminal and Tokyo City,4Pax Tokyo Cruise to City,2027-03-06,07:30,Terminal and Tokyo City 4Pax Tokyo Cruis,TYO-TICT,TYO-TICT,NO_SCHEDULE:未查到 Terminal and Tokyo City 4Pax Tokyo Cruis 在出行日的官方时刻
16516,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Tokyo Cruise Port→Hotel,2027-03-06,08:00,Port: Private Transfer To/From Tokyo hot,TYO-TICT,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
16026,NEED_INFO,airport,Haneda Airport Private Transfer To or From Tokyo Disney Resort,7 Seat from DisneySea to HND,2027-03-06,09:30,,HND,HND,NO_HUB_ID:订单里找不到航班号/船名/列车号
13285,NEED_INFO,port,Tokyo Cruise Port: Private Transfer To/From Tokyo hotels,7 seat Hotel→Tokyo Cruise Port,2027-03-14,09:30,Port: Private Transfer To/From Tokyo hot,,TYO-TICT,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo hot 在出行日的官方时刻
13283,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Port to Hotel (1–4 Pax),2027-03-21,07:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
16378,NEED_INFO,port,Yokohama Cruise Port: Private Transfer To/From Tokyo Hotels,Hotel to Port (Max 4 pax),2027-04-10,11:00,Port: Private Transfer To/From Tokyo Hot,YOK,YOK,NO_SCHEDULE:未查到 Port: Private Transfer To/From Tokyo Hot 在出行日的官方时刻
16637,NEED_INFO,airport,Haneda Airport Private Transfer To or From Tokyo Disney Resort,7 Seat from Disneyland to HND,2027-07-23,12:00,,HND,HND,NO_HUB_ID:订单里找不到航班号/船名/列车号
